sec     pub/s       consumed/s    pending     lag_ms    
------  ----------  ------------  ----------  ----------
1       300         1926798       6           3.0       
2       300         630           6           3.0       
3       300         301           6           3.0       
4       296         430           6           2.0       
5       300         303           6           2.0       
6       292         293           5           3.0       
7       300         316           6           2.0       
8       300         442           6           2.0       
9       300         304           6           2.0       
10      296         350           6           2.0       
11      300         408           6           2.0       
12      300         303           6           3.0       
13      300         308           6           2.0       
14      300         310           6           1.0       
15      300         305           6           1.0       
16      300         501           13          1.0       
17      300         765           47          133.0     
18      296         449           6           2.0       
19      300         328           6           2.0       
20      299         344           6           2.0       
21      300         308           6           1.0       
22      299         430           96          20.0      
23      300         1079          47          7.0       
24      299         410           6           1.0       
25      297         319           5           3.0       
26      298         312           5           2.0       
27      299         325           6           3.0       
28      300         307           6           2.0       
29      300         314           6           2.0       
30      299         309           6           1.0       
31      300         0             6           1002.0    
32      300         0             6           2004.0    
33      300         0             6           3003.0    
34      300         0             6           4001.0    
35      300         0             6           5001.0    
36      300         0             6           6002.0    
37      299         0             6           7003.0    
38      300         0             6           8001.0    
39      300         0             6           9002.0    
40      296         0             6           10002.0   
41      300         0             6           11002.0   
42      296         0             6           12002.0   
43      300         0             6           13002.0   
44      299         0             6           14001.0   
45      300         0             6           15001.0   
46      297         0             6           16003.0   
47      300         0             6           17002.0   
48      297         0             6           18002.0   
49      293         0             6           19002.0   
50      299         0             6           20001.0   
51      300         3500          86          9774.0    
52      300         3630          6           2.0       
53      287         359           6           2.0       
54      300         424           6           2.0       
55      300         450           6           1.0       
56      300         303           6           2.0       
57      300         307           6           2.0       
58      297         301           6           2.0       
59      300         303           6           2.0       
60      300         302           6           2.0       
61      300         302           6           2.0       
62      299         303           6           2.0       
63      300         615           6           2.0       
64      300         303           6           1.0       
65      300         303           6           2.0       
66      300         301           6           2.0       
67      300         303           6           2.0       
68      299         309           6           2.0       
69      300         302           6           2.0       
70      298         299           6           2.0       
71      300         305           6           2.0       
72      300         301           6           3.0       
73      300         306           6           2.0       
74      297         301           6           3.0       
75      301         617           6           2.0       
76      296         322           7           4.0       
77      291         324           6           2.0       
78      300         481           6           2.0       
79      298         299           6           2.0       
80      299         314           6           2.0       
81      300         302           6           3.0       
82      300         302           6           2.0       
83      299         306           6           2.0       
84      300         486           6           2.0       
85      300         372           6           4.0       
86      299         306           6           2.0       
87      300         330           6           2.0       
88      296         301           6           2.0       
89      300         307           6           2.0       
90      300         307           6           2.0       
91      0           9             6           404.0     
------  ----------  ------------  ----------  ----------
TOTAL   pub=26902       consumed=1958418     secs=91
AVG     pub/s=295.6     consumed/s=21521.1 
