sec     pub/s       consumed/s    pending     lag_ms    
------  ----------  ------------  ----------  ----------
1       2807        869414        1           2.0       
2       3058        3062          1           2.0       
3       2948        2952          1           2.0       
4       3000        3002          1           1.0       
5       3048        3120          1           2.0       
6       2991        2994          1           1.0       
7       3046        3047          1           2.0       
8       2967        2968          1           3.0       
9       2927        2932          1           2.0       
10      3015        3022          1           2.0       
11      3005        3009          1           2.0       
12      3029        3031          1           1.0       
13      3063        3071          1           2.0       
14      3024        3027          1           2.0       
15      3128        3131          1           2.0       
16      2999        3006          1           2.0       
17      3006        3006          1           1.0       
18      2875        2878          1           3.0       
19      2996        2997          1           2.0       
20      2689        2693          1           1.0       
21      2891        2894          1           1.0       
22      2913        2917          1           0.0       
23      2921        2922          1           1.0       
24      3020        3024          1           1.0       
25      2923        2924          1           1.0       
26      3011        3013          1           1.0       
27      2947        2948          1           1.0       
28      3009        3012          1           1.0       
29      2919        2920          1           0.0       
30      2867        2868          1           0.0       
31      2930        2930          1           1.0       
32      2942        2948          1           1.0       
33      3101        3105          1           1.0       
34      3059        3065          1           1.0       
35      2861        2863          1           1.0       
36      3072        3074          1           1.0       
37      2958        2959          1           1.0       
38      3071        3073          1           1.0       
39      2960        2962          1           1.0       
40      2912        2916          1           1.0       
41      2643        2643          1           1.0       
42      2778        2780          1           0.0       
43      2928        2933          1           1.0       
44      3019        3022          1           2.0       
45      2919        2924          1           1.0       
46      3041        3041          1           1.0       
47      2992        2994          1           1.0       
48      3030        3032          1           1.0       
49      2940        2941          1           1.0       
50      2873        2873          1           0.0       
51      2912        2918          1           1.0       
52      2828        2839          1           1.0       
53      2991        3009          1           1.0       
54      2980        2982          1           1.0       
55      2911        2929          1           1.0       
56      2906        2918          1           2.0       
57      2893        2895          1           1.0       
58      2989        2991          1           1.0       
59      2919        2921          1           1.0       
60      2844        2844          1           1.0       
61      2955        2962          1           1.0       
62      2491        2493          1           1.0       
63      2866        2871          1           1.0       
64      2905        2908          1           1.0       
65      2885        2888          1           1.0       
66      2895        2900          1           1.0       
67      2957        2957          1           1.0       
68      3000        3003          1           1.0       
69      2920        2928          1           1.0       
70      2970        2971          1           0.0       
71      2915        2919          1           0.0       
72      2875        2880          1           2.0       
73      2899        2901          1           1.0       
74      2917        2929          1           1.0       
75      2924        2927          1           1.0       
76      2785        2791          1           1.0       
77      2929        2930          1           1.0       
78      2988        2992          1           0.0       
79      2860        2863          1           1.0       
80      2901        2906          1           1.0       
81      2908        2911          1           1.0       
82      2770        2772          1           0.0       
83      2956        2959          1           1.0       
84      2871        2872          1           0.0       
85      2928        2929          1           1.0       
86      2852        2856          1           1.0       
87      2838        2839          1           10.0      
88      2921        2925          1           1.0       
89      2789        2789          1           1.0       
90      2901        2903          1           1.0       
------  ----------  ------------  ----------  ----------
TOTAL   pub=263815      consumed=1130802     secs=90
AVG     pub/s=2931.3    consumed/s=12564.5 
